"state23","st_code","dist23","di_code","st_di23","GeoName","GEOID"
"GUJARAT","24","MORBI","673","GUJARAT, MORBI","GUJARAT, MORBI","x24673"
"GUJARAT","24","AHMADABAD","438","GUJARAT, AHMADABAD","GUJARAT, AHMADABAD","x24438"
"GUJARAT","24","ANAND","440","GUJARAT, ANAND","GUJARAT, ANAND","x24440"
"GUJARAT","24","DEVBHUMI DWARKA","674","GUJARAT, DEVBHUMI DWARKA","GUJARAT, DEVBHUMI DWARKA","x24674"
"GUJARAT","24","JAMNAGAR","447","GUJARAT, JAMNAGAR","GUJARAT, JAMNAGAR","x24447"
"GUJARAT","24","KACHCHH","449","GUJARAT, KACHCHH","GUJARAT, KACHCHH","x24449"
"GUJARAT","24","BHAVNAGAR","443","GUJARAT, BHAVNAGAR","GUJARAT, BHAVNAGAR","x24443"
"GUJARAT","24","BHARUCH","442","GUJARAT, BHARUCH","GUJARAT, BHARUCH","x24442"
"GUJARAT","24","SURAT","459","GUJARAT, SURAT","GUJARAT, SURAT","x24459"
"GUJARAT","24","NAVSARI","453","GUJARAT, NAVSARI","GUJARAT, NAVSARI","x24453"
"GUJARAT","24","VALSAD","462","GUJARAT, VALSAD","GUJARAT, VALSAD","x24462"
"MADHYA PRADESH","23","AGAR MALWA","667","MADHYA PRADESH, AGAR MALWA","MADHYA PRADESH, AGAR MALWA","x23667"
"UTTAR PRADESH","09","AGRA","118","UTTAR PRADESH, AGRA","UTTAR PRADESH, AGRA","x09118"
"RAJASTHAN","08","AJMER","086","RAJASTHAN, AJMER","RAJASTHAN, AJMER","x08086"
"KERALA","32","ALAPPUZHA","554","KERALA, ALAPPUZHA","KERALA, ALAPPUZHA","x32554"
"UTTAR PRADESH","09","ALIGARH","119","UTTAR PRADESH, ALIGARH","UTTAR PRADESH, ALIGARH","x09119"
"MADHYA PRADESH","23","ALIRAJPUR","639","MADHYA PRADESH, ALIRAJPUR","MADHYA PRADESH, ALIRAJPUR","x23639"
"UTTARAKHAND","05","ALMORA","045","UTTARAKHAND, ALMORA","UTTARAKHAND, ALMORA","x05045"
"RAJASTHAN","08","ALWAR","087","RAJASTHAN, ALWAR","RAJASTHAN, ALWAR","x08087"
"UTTAR PRADESH","09","AMBEDKARNAGAR","121","UTTAR PRADESH, AMBEDKARNAGAR","UTTAR PRADESH, AMBEDKARNAGAR","x09121"
"UTTAR PRADESH","09","AMETHI","640","UTTAR PRADESH, AMETHI","UTTAR PRADESH, AMETHI","x09640"
"UTTAR PRADESH","09","AMROHA","154","UTTAR PRADESH, AMROHA","UTTAR PRADESH, AMROHA","x09154"
"ANDHRA PRADESH","28","ANANTAPUR","502","ANDHRA PRADESH, ANANTAPUR","ANDHRA PRADESH, ANANTAPUR","x28502"
"ODISHA","21","ANUGUL","344","ODISHA, ANUGUL","ODISHA, ANUGUL","x21344"
"MADHYA PRADESH","23","ANUPPUR","390","MADHYA PRADESH, ANUPPUR","MADHYA PRADESH, ANUPPUR","x23390"
"GUJARAT","24","ARAVALLI","672","GUJARAT, ARAVALLI","GUJARAT, ARAVALLI","x24672"
"MADHYA PRADESH","23","ASHOKNAGAR","391","MADHYA PRADESH, ASHOKNAGAR","MADHYA PRADESH, ASHOKNAGAR","x23391"
"UTTAR PRADESH","09","AURAIYA","122","UTTAR PRADESH, AURAIYA","UTTAR PRADESH, AURAIYA","x09122"
"UTTAR PRADESH","09","AZAMGARH","123","UTTAR PRADESH, AZAMGARH","UTTAR PRADESH, AZAMGARH","x09123"
"UTTAR PRADESH","09","BUDAUN","133","UTTAR PRADESH, BUDAUN","UTTAR PRADESH, BUDAUN","x09133"
"KARNATAKA","29","BAGALKOT","524","KARNATAKA, BAGALKOT","KARNATAKA, BAGALKOT","x29524"
"UTTARAKHAND","05","BAGESHWAR","046","UTTARAKHAND, BAGESHWAR","UTTARAKHAND, BAGESHWAR","x05046"
"UTTAR PRADESH","09","BAGHPAT","124","UTTAR PRADESH, BAGHPAT","UTTAR PRADESH, BAGHPAT","x09124"
"UTTAR PRADESH","09","BAHRAICH","125","UTTAR PRADESH, BAHRAICH","UTTAR PRADESH, BAHRAICH","x09125"
"MADHYA PRADESH","23","BALAGHAT","392","MADHYA PRADESH, BALAGHAT","MADHYA PRADESH, BALAGHAT","x23392"
"ODISHA","21","BOLANGIR (BALANGIR)","345","ODISHA, BOLANGIR (BALANGIR)","ODISHA, BOLANGIR (BALANGIR)","x21345"
"ODISHA","21","BALASORE (BALESHWAR)","346","ODISHA, BALASORE (BALESHWAR)","ODISHA, BALASORE (BALESHWAR)","x21346"
"KARNATAKA","29","BALLARI","528","KARNATAKA, BALLARI","KARNATAKA, BALLARI","x29528"
"UTTAR PRADESH","09","BALLIA","126","UTTAR PRADESH, BALLIA","UTTAR PRADESH, BALLIA","x09126"
"CHHATTISGARH","22","BALOD","646","CHHATTISGARH, BALOD","CHHATTISGARH, BALOD","x22646"
"CHHATTISGARH","22","BALODA BAZAR","644","CHHATTISGARH, BALODA BAZAR","CHHATTISGARH, BALODA BAZAR","x22644"
"CHHATTISGARH","22","BALRAMPUR","649","CHHATTISGARH, BALRAMPUR","CHHATTISGARH, BALRAMPUR","x22649"
"UTTAR PRADESH","09","BALRAMPUR","127","UTTAR PRADESH, BALRAMPUR","UTTAR PRADESH, BALRAMPUR","x09127"
"GUJARAT","24","BANAS KANTHA","441","GUJARAT, BANAS KANTHA","GUJARAT, BANAS KANTHA","x24441"
"UTTAR PRADESH","09","BANDA","128","UTTAR PRADESH, BANDA","UTTAR PRADESH, BANDA","x09128"
"RAJASTHAN","08","BANSWARA","088","RAJASTHAN, BANSWARA","RAJASTHAN, BANSWARA","x08088"
"UTTAR PRADESH","09","BARABANKI","129","UTTAR PRADESH, BARABANKI","UTTAR PRADESH, BARABANKI","x09129"
"ODISHA","21","BARAGARH","347","ODISHA, BARAGARH","ODISHA, BARAGARH","x21347"
"RAJASTHAN","08","BARAN","089","RAJASTHAN, BARAN","RAJASTHAN, BARAN","x08089"
"UTTAR PRADESH","09","BAREILLY","130","UTTAR PRADESH, BAREILLY","UTTAR PRADESH, BAREILLY","x09130"
"RAJASTHAN","08","BARMER","090","RAJASTHAN, BARMER","RAJASTHAN, BARMER","x08090"
"MADHYA PRADESH","23","BARWANI","393","MADHYA PRADESH, BARWANI","MADHYA PRADESH, BARWANI","x23393"
"CHHATTISGARH","22","BASTAR","374","CHHATTISGARH, BASTAR","CHHATTISGARH, BASTAR","x22374"
"UTTAR PRADESH","09","BASTI","131","UTTAR PRADESH, BASTI","UTTAR PRADESH, BASTI","x09131"
"KARNATAKA","29","BELAGAVI","527","KARNATAKA, BELAGAVI","KARNATAKA, BELAGAVI","x29527"
"CHHATTISGARH","22","BEMETARA","650","CHHATTISGARH, BEMETARA","CHHATTISGARH, BEMETARA","x22650"
"KARNATAKA","29","BENGALURU RURAL","526","KARNATAKA, BENGALURU RURAL","KARNATAKA, BENGALURU RURAL","x29526"
"KARNATAKA","29","BENGALURU URBAN","525","KARNATAKA, BENGALURU URBAN","KARNATAKA, BENGALURU URBAN","x29525"
"MADHYA PRADESH","23","BETUL","394","MADHYA PRADESH, BETUL","MADHYA PRADESH, BETUL","x23394"
"UTTAR PRADESH","09","BHADOHI","179","UTTAR PRADESH, BHADOHI","UTTAR PRADESH, BHADOHI","x09179"
"ODISHA","21","BHADRAK","348","ODISHA, BHADRAK","ODISHA, BHADRAK","x21348"
"RAJASTHAN","08","BHARATPUR","091","RAJASTHAN, BHARATPUR","RAJASTHAN, BHARATPUR","x08091"
"RAJASTHAN","08","BHILWARA","092","RAJASTHAN, BHILWARA","RAJASTHAN, BHILWARA","x08092"
"MADHYA PRADESH","23","BHIND","395","MADHYA PRADESH, BHIND","MADHYA PRADESH, BHIND","x23395"
"MADHYA PRADESH","23","BHOPAL","396","MADHYA PRADESH, BHOPAL","MADHYA PRADESH, BHOPAL","x23396"
"KARNATAKA","29","BIDAR","529","KARNATAKA, BIDAR","KARNATAKA, BIDAR","x29529"
"CHHATTISGARH","22","BIJAPUR","636","CHHATTISGARH, BIJAPUR","CHHATTISGARH, BIJAPUR","x22636"
"UTTAR PRADESH","09","BIJNOR","132","UTTAR PRADESH, BIJNOR","UTTAR PRADESH, BIJNOR","x09132"
"RAJASTHAN","08","BIKANER","093","RAJASTHAN, BIKANER","RAJASTHAN, BIKANER","x08093"
"CHHATTISGARH","22","BILASPUR","375","CHHATTISGARH, BILASPUR","CHHATTISGARH, BILASPUR","x22375"
"CHHATTISGARH","22","GAURELA-PENDRA-MARWAHI","734","CHHATTISGARH, GAURELA-PENDRA-MARWAHI","CHHATTISGARH, GAURELA-PENDRA-MARWAHI","x22734"
"HIMACHAL PRADESH","02","BILASPUR","015","HIMACHAL PRADESH, BILASPUR","HIMACHAL PRADESH, BILASPUR","x02015"
"MANIPUR","14","BISHNUPUR","252","MANIPUR, BISHNUPUR","MANIPUR, BISHNUPUR","x14252"
"JHARKHAND","20","BOKARO","322","JHARKHAND, BOKARO","JHARKHAND, BOKARO","x20322"
"UTTAR PRADESH","09","BULANDSHAHR","134","UTTAR PRADESH, BULANDSHAHR","UTTAR PRADESH, BULANDSHAHR","x09134"
"RAJASTHAN","08","BUNDI","094","RAJASTHAN, BUNDI","RAJASTHAN, BUNDI","x08094"
"MADHYA PRADESH","23","BURHANPUR","397","MADHYA PRADESH, BURHANPUR","MADHYA PRADESH, BURHANPUR","x23397"
"DELHI","07","CENTRAL","077","DELHI, CENTRAL","DELHI, CENTRAL","x07077"
"KARNATAKA","29","CHAMARAJANAGAR","531","KARNATAKA, CHAMARAJANAGAR","KARNATAKA, CHAMARAJANAGAR","x29531"
"HIMACHAL PRADESH","02","CHAMBA","016","HIMACHAL PRADESH, CHAMBA","HIMACHAL PRADESH, CHAMBA","x02016"
"UTTARAKHAND","05","CHAMPAWAT","048","UTTARAKHAND, CHAMPAWAT","UTTARAKHAND, CHAMPAWAT","x05048"
"MIZORAM","15","CHAMPHAI","262","MIZORAM, CHAMPHAI","MIZORAM, CHAMPHAI","x15262"
"UTTAR PRADESH","09","CHANDAULI","135","UTTAR PRADESH, CHANDAULI","UTTAR PRADESH, CHANDAULI","x09135"
"MANIPUR","14","CHANDEL","253","MANIPUR, CHANDEL","MANIPUR, CHANDEL","x14253"
"CHANDIGARH","04","CHANDIGARH","044","CHANDIGARH, CHANDIGARH","CHANDIGARH, CHANDIGARH","x04044"
"JHARKHAND","20","CHATRA","323","JHARKHAND, CHATRA","JHARKHAND, CHATRA","x20323"
"MADHYA PRADESH","23","CHHATARPUR","398","MADHYA PRADESH, CHHATARPUR","MADHYA PRADESH, CHHATARPUR","x23398"
"MADHYA PRADESH","23","CHHINDWARA","399","MADHYA PRADESH, CHHINDWARA","MADHYA PRADESH, CHHINDWARA","x23399"
"GUJARAT","24","CHHOTA UDEPUR","668","GUJARAT, CHHOTA UDEPUR","GUJARAT, CHHOTA UDEPUR","x24668"
"KARNATAKA","29","CHIK BALLAPUR","630","KARNATAKA, CHIK BALLAPUR","KARNATAKA, CHIK BALLAPUR","x29630"
"KARNATAKA","29","CHIKKAMAGALURU","532","KARNATAKA, CHIKKAMAGALURU","KARNATAKA, CHIKKAMAGALURU","x29532"
"KARNATAKA","29","CHITRADURGA","533","KARNATAKA, CHITRADURGA","KARNATAKA, CHITRADURGA","x29533"
"UTTAR PRADESH","09","CHITRAKOOT","136","UTTAR PRADESH, CHITRAKOOT","UTTAR PRADESH, CHITRAKOOT","x09136"
"RAJASTHAN","08","CHITTAURGARH","095","RAJASTHAN, CHITTAURGARH","RAJASTHAN, CHITTAURGARH","x08095"
"ANDHRA PRADESH","28","CHITTOOR","503","ANDHRA PRADESH, CHITTOOR","ANDHRA PRADESH, CHITTOOR","x28503"
"MANIPUR","14","CHURACHANDPUR","254","MANIPUR, CHURACHANDPUR","MANIPUR, CHURACHANDPUR","x14254"
"RAJASTHAN","08","CHURU","096","RAJASTHAN, CHURU","RAJASTHAN, CHURU","x08096"
"ANDHRA PRADESH","28","Y S R KADAPA","504","ANDHRA PRADESH, Y S R KADAPA","ANDHRA PRADESH, Y S R KADAPA","x28504"
"ODISHA","21","CUTTACK","350","ODISHA, CUTTACK","ODISHA, CUTTACK","x21350"
"GUJARAT","24","DAHOD","445","GUJARAT, DAHOD","GUJARAT, DAHOD","x24445"
"KARNATAKA","29","DAKSHINA KANNADA","534","KARNATAKA, DAKSHINA  KANNADA","KARNATAKA, DAKSHINA KANNADA","x29534"
"DADRA & NAGAR HAVELI & DAMAN & DIU","38","DAMAN","463","DADRA & NAGAR HAVELI & DAMAN & DIU, DAMAN","DADRA & NAGAR HAVELI & DAMAN & DIU, DAMAN","x38463"
"MADHYA PRADESH","23","DAMOH","400","MADHYA PRADESH, DAMOH","MADHYA PRADESH, DAMOH","x23400"
"GUJARAT","24","DANGS","444","GUJARAT, DANGS","GUJARAT, DANGS","x24444"
"CHHATTISGARH","22","DAKSHIN BASTAR DANTEWADA","376","CHHATTISGARH, DAKSHIN BASTAR DANTEWADA","CHHATTISGARH, DAKSHIN BASTAR DANTEWADA","x22376"
"MADHYA PRADESH","23","DATIA","401","MADHYA PRADESH, DATIA","MADHYA PRADESH, DATIA","x23401"
"RAJASTHAN","08","DAUSA","097","RAJASTHAN, DAUSA","RAJASTHAN, DAUSA","x08097"
"KARNATAKA","29","DAVANGERE","535","KARNATAKA, DAVANGERE","KARNATAKA, DAVANGERE","x29535"
"UTTARAKHAND","05","DEHRADUN","049","UTTARAKHAND, DEHRADUN","UTTARAKHAND, DEHRADUN","x05049"
"ODISHA","21","DEOGARH","351","ODISHA, DEOGARH","ODISHA, DEOGARH","x21351"
"UTTAR PRADESH","09","DEORIA","137","UTTAR PRADESH, DEORIA","UTTAR PRADESH, DEORIA","x09137"
"MADHYA PRADESH","23","DEWAS","402","MADHYA PRADESH, DEWAS","MADHYA PRADESH, DEWAS","x23402"
"TRIPURA","16","DHALAI","269","TRIPURA, DHALAI","TRIPURA, DHALAI","x16269"
"CHHATTISGARH","22","DHAMTARI","377","CHHATTISGARH, DHAMTARI","CHHATTISGARH, DHAMTARI","x22377"
"JHARKHAND","20","DHANBAD","325","JHARKHAND, DHANBAD","JHARKHAND, DHANBAD","x20325"
"MADHYA PRADESH","23","DHAR","403","MADHYA PRADESH, DHAR","MADHYA PRADESH, DHAR","x23403"
"UTTAR PRADESH","09","AYODHYA","140","UTTAR PRADESH, AYODHYA","UTTAR PRADESH, AYODHYA","x09140"
"JHARKHAND","20","DEOGHAR","324","JHARKHAND, DEOGHAR","JHARKHAND, DEOGHAR","x20324"
"KARNATAKA","29","DHARWAD","536","KARNATAKA, DHARWAD","KARNATAKA, DHARWAD","x29536"
"ODISHA","21","DHENKANAL","352","ODISHA, DHENKANAL","ODISHA, DHENKANAL","x21352"
"RAJASTHAN","08","DHAULPUR","098","RAJASTHAN, DHAULPUR","RAJASTHAN, DHAULPUR","x08098"
"MADHYA PRADESH","23","DINDORI","404","MADHYA PRADESH, DINDORI","MADHYA PRADESH, DINDORI","x23404"
"JHARKHAND","20","DUMKA","326","JHARKHAND, DUMKA","JHARKHAND, DUMKA","x20326"
"RAJASTHAN","08","DUNGARPUR","099","RAJASTHAN, DUNGARPUR","RAJASTHAN, DUNGARPUR","x08099"
"CHHATTISGARH","22","DURG","378","CHHATTISGARH, DURG","CHHATTISGARH, DURG","x22378"
"DELHI","07","EAST","078","DELHI, EAST","DELHI, EAST","x07078"
"SIKKIM","11","EAST","225","SIKKIM, EAST","SIKKIM, EAST","x11225"
"MEGHALAYA","17","EAST GARO HILLS","273","MEGHALAYA, EAST GARO HILLS","MEGHALAYA, EAST GARO HILLS","x17273"
"ANDHRA PRADESH","28","EAST GODAVARI","505","ANDHRA PRADESH, EAST GODAVARI","ANDHRA PRADESH, EAST GODAVARI","x28505"
"MEGHALAYA","17","EAST KHASI HILLS","274","MEGHALAYA, EAST KHASI HILLS","MEGHALAYA, EAST KHASI HILLS","x17274"
"MADHYA PRADESH","23","EAST NIMAR","405","MADHYA PRADESH, EAST NIMAR","MADHYA PRADESH, EAST NIMAR","x23405"
"KERALA","32","ERNAKULAM","555","KERALA, ERNAKULAM","KERALA, ERNAKULAM","x32555"
"UTTAR PRADESH","09","ETAH","138","UTTAR PRADESH, ETAH","UTTAR PRADESH, ETAH","x09138"
"UTTAR PRADESH","09","ETAWAH","139","UTTAR PRADESH, ETAWAH","UTTAR PRADESH, ETAWAH","x09139"
"UTTAR PRADESH","09","FARRUKHABAD","141","UTTAR PRADESH, FARRUKHABAD","UTTAR PRADESH, FARRUKHABAD","x09141"
"UTTAR PRADESH","09","FATEHPUR","142","UTTAR PRADESH, FATEHPUR","UTTAR PRADESH, FATEHPUR","x09142"
"UTTAR PRADESH","09","FIROZABAD","143","UTTAR PRADESH, FIROZABAD","UTTAR PRADESH, FIROZABAD","x09143"
"KARNATAKA","29","GADAG","537","KARNATAKA, GADAG","KARNATAKA, GADAG","x29537"
"ODISHA","21","GAJAPATI","353","ODISHA, GAJAPATI","ODISHA, GAJAPATI","x21353"
"ODISHA","21","GANJAM","354","ODISHA, GANJAM","ODISHA, GANJAM","x21354"
"JHARKHAND","20","GARHWA","328","JHARKHAND, GARHWA","JHARKHAND, GARHWA","x20328"
"CHHATTISGARH","22","GARIYABAND","645","CHHATTISGARH, GARIYABAND","CHHATTISGARH, GARIYABAND","x22645"
"UTTAR PRADESH","09","GAUTAMBUDHNAGAR","144","UTTAR PRADESH, GAUTAMBUDHNAGAR","UTTAR PRADESH, GAUTAMBUDHNAGAR","x09144"
"UTTAR PRADESH","09","GAZIPUR","146","UTTAR PRADESH, GAZIPUR","UTTAR PRADESH, GAZIPUR","x09146"
"UTTAR PRADESH","09","GHAZIABAD","145","UTTAR PRADESH, GHAZIABAD","UTTAR PRADESH, GHAZIABAD","x09145"
"GUJARAT","24","GIR SOMNATH","675","GUJARAT, GIR SOMNATH","GUJARAT, GIR SOMNATH","x24675"
"JHARKHAND","20","GIRIDIH","329","JHARKHAND, GIRIDIH","JHARKHAND, GIRIDIH","x20329"
"JHARKHAND","20","GODDA","330","JHARKHAND, GODDA","JHARKHAND, GODDA","x20330"
"TRIPURA","16","GOMATI","654","TRIPURA, GOMATI","TRIPURA, GOMATI","x16654"
"UTTAR PRADESH","09","GONDA","147","UTTAR PRADESH, GONDA","UTTAR PRADESH, GONDA","x09147"
"UTTAR PRADESH","09","GORAKHPUR","148","UTTAR PRADESH, GORAKHPUR","UTTAR PRADESH, GORAKHPUR","x09148"
"JHARKHAND","20","GUMLA","331","JHARKHAND, GUMLA","JHARKHAND, GUMLA","x20331"
"MADHYA PRADESH","23","GUNA","406","MADHYA PRADESH, GUNA","MADHYA PRADESH, GUNA","x23406"
"ANDHRA PRADESH","28","GUNTUR","506","ANDHRA PRADESH, GUNTUR","ANDHRA PRADESH, GUNTUR","x28506"
"MADHYA PRADESH","23","GWALIOR","407","MADHYA PRADESH, GWALIOR","MADHYA PRADESH, GWALIOR","x23407"
"HIMACHAL PRADESH","02","HAMIRPUR","017","HIMACHAL PRADESH, HAMIRPUR","HIMACHAL PRADESH, HAMIRPUR","x02017"
"UTTAR PRADESH","09","HAMIRPUR","149","UTTAR PRADESH, HAMIRPUR","UTTAR PRADESH, HAMIRPUR","x09149"
"RAJASTHAN","08","HANUMANGARH","101","RAJASTHAN, HANUMANGARH","RAJASTHAN, HANUMANGARH","x08101"
"UTTAR PRADESH","09","HAPUR","661","UTTAR PRADESH, HAPUR","UTTAR PRADESH, HAPUR","x09661"
"MADHYA PRADESH","23","HARDA","408","MADHYA PRADESH, HARDA","MADHYA PRADESH, HARDA","x23408"
"UTTAR PRADESH","09","HARDOI","150","UTTAR PRADESH, HARDOI","UTTAR PRADESH, HARDOI","x09150"
"UTTARAKHAND","05","HARIDWAR","050","UTTARAKHAND, HARIDWAR","UTTARAKHAND, HARIDWAR","x05050"
"KARNATAKA","29","HASSAN","539","KARNATAKA, HASSAN","KARNATAKA, HASSAN","x29539"
"UTTAR PRADESH","09","HATHRAS","163","UTTAR PRADESH, HATHRAS","UTTAR PRADESH, HATHRAS","x09163"
"KARNATAKA","29","HAVERI","540","KARNATAKA, HAVERI","KARNATAKA, HAVERI","x29540"
"JHARKHAND","20","HAZARIBAGH","332","JHARKHAND, HAZARIBAGH","JHARKHAND, HAZARIBAGH","x20332"
"MADHYA PRADESH","23","HOSHANGABAD","409","MADHYA PRADESH, HOSHANGABAD","MADHYA PRADESH, HOSHANGABAD","x23409"
"KERALA","32","IDUKKI","556","KERALA, IDUKKI","KERALA, IDUKKI","x32556"
"MANIPUR","14","IMPHAL WEST","256","MANIPUR, IMPHAL WEST","MANIPUR, IMPHAL WEST","x14256"
"MADHYA PRADESH","23","INDORE","410","MADHYA PRADESH, INDORE","MADHYA PRADESH, INDORE","x23410"
"MADHYA PRADESH","23","JABALPUR","411","MADHYA PRADESH, JABALPUR","MADHYA PRADESH, JABALPUR","x23411"
"ODISHA","21","JAGATSINGHPUR","355","ODISHA, JAGATSINGHPUR","ODISHA, JAGATSINGHPUR","x21355"
"RAJASTHAN","08","JAIPUR","102","RAJASTHAN, JAIPUR","RAJASTHAN, JAIPUR","x08102"
"RAJASTHAN","08","JAISALMER","103","RAJASTHAN, JAISALMER","RAJASTHAN, JAISALMER","x08103"
"ODISHA","21","JAJAPUR","356","ODISHA, JAJAPUR","ODISHA, JAJAPUR","x21356"
"UTTAR PRADESH","09","JALAUN","151","UTTAR PRADESH, JALAUN","UTTAR PRADESH, JALAUN","x09151"
"RAJASTHAN","08","JALOR","104","RAJASTHAN, JALOR","RAJASTHAN, JALOR","x08104"
"JHARKHAND","20","JAMTARA","333","JHARKHAND, JAMTARA","JHARKHAND, JAMTARA","x20333"
"CHHATTISGARH","22","JANJGIR - CHAMPA","379","CHHATTISGARH, JANJGIR - CHAMPA","CHHATTISGARH, JANJGIR - CHAMPA","x22379"
"CHHATTISGARH","22","JASHPUR","380","CHHATTISGARH, JASHPUR","CHHATTISGARH, JASHPUR","x22380"
"UTTAR PRADESH","09","JAUNPUR","152","UTTAR PRADESH, JAUNPUR","UTTAR PRADESH, JAUNPUR","x09152"
