"state23","st_code","dist23","di_code","st_di23","GeoName","GEOID"
"MAHARASHTRA","27","PALGHAR","665","MAHARASHTRA, PALGHAR","MAHARASHTRA, PALGHAR","x27665"
"HARYANA","06","PALWAL","619","HARYANA, PALWAL","HARYANA, PALWAL","x06619"
"HARYANA","06","PANCHKULA","070","HARYANA, PANCHKULA","HARYANA, PANCHKULA","x06070"
"HARYANA","06","PANIPAT","071","HARYANA, PANIPAT","HARYANA, PANIPAT","x06071"
"ARUNACHAL PRADESH","12","PAPUMPARE","237","ARUNACHAL PRADESH, PAPUMPARE","ARUNACHAL PRADESH, PAPUMPARE","x12237"
"MAHARASHTRA","27","PARBHANI","489","MAHARASHTRA, PARBHANI","MAHARASHTRA, PARBHANI","x27489"
"BIHAR","10","PASHCHIMI CHAMPARAN","211","BIHAR, PASHCHIMI CHAMPARAN","BIHAR, PASHCHIMI CHAMPARAN","x10211"
"WEST BENGAL","19","PASCHIM MEDINIPUR","318","WEST BENGAL, PASCHIM MEDINIPUR","WEST BENGAL, PASCHIM MEDINIPUR","x19318"
"PUNJAB","03","PATHANKOT","662","PUNJAB, PATHANKOT","PUNJAB, PATHANKOT","x03662"
"PUNJAB","03","PATIALA","041","PUNJAB, PATIALA","PUNJAB, PATIALA","x03041"
"BIHAR","10","PATNA","212","BIHAR, PATNA","BIHAR, PATNA","x10212"
"UTTARAKHAND","05","PITHORAGARH","053","UTTARAKHAND, PITHORAGARH","UTTARAKHAND, PITHORAGARH","x05053"
"MAHARASHTRA","27","PUNE","490","MAHARASHTRA, PUNE","MAHARASHTRA, PUNE","x27490"
"BIHAR","10","PURBI CHAMPARAN","213","BIHAR, PURBI CHAMPARAN","BIHAR, PURBI CHAMPARAN","x10213"
"BIHAR","10","PURNIA","214","BIHAR, PURNIA","BIHAR, PURNIA","x10214"
"WEST BENGAL","19","PURULIYA","321","WEST BENGAL, PURULIYA","WEST BENGAL, PURULIYA","x19321"
"MAHARASHTRA","27","RAYGAD","491","MAHARASHTRA, RAYGAD","MAHARASHTRA, RAYGAD","x27491"
"TELANGANA","36","RANGAREDDY","518","TELANGANA, RANGAREDDY","TELANGANA, RANGAREDDY","x36518"
"MAHARASHTRA","27","RATNAGIRI","492","MAHARASHTRA, RATNAGIRI","MAHARASHTRA, RATNAGIRI","x27492"
"HARYANA","06","REWARI","072","HARYANA, REWARI","HARYANA, REWARI","x06072"
"HARYANA","06","ROHTAK","073","HARYANA, ROHTAK","HARYANA, ROHTAK","x06073"
"BIHAR","10","ROHTAS","215","BIHAR, ROHTAS","BIHAR, ROHTAS","x10215"
"PUNJAB","03","RUPNAGAR","042","PUNJAB, RUPNAGAR","PUNJAB, RUPNAGAR","x03042"
"BIHAR","10","SAHARSA","216","BIHAR, SAHARSA","BIHAR, SAHARSA","x10216"
"BIHAR","10","SAMASTIPUR","217","BIHAR, SAMASTIPUR","BIHAR, SAMASTIPUR","x10217"
"MAHARASHTRA","27","SANGLI","493","MAHARASHTRA, SANGLI","MAHARASHTRA, SANGLI","x27493"
"PUNJAB","03","SANGRUR","043","PUNJAB, SANGRUR","PUNJAB, SANGRUR","x03043"
"BIHAR","10","SARAN","218","BIHAR, SARAN","BIHAR, SARAN","x10218"
"PUNJAB","03","SAS NAGAR (SAHIBZADA AJIT SINGH NAGAR)","608","PUNJAB, SAS NAGAR (SAHIBZADA AJIT SINGH NAGAR)","PUNJAB, SAS NAGAR (SAHIBZADA AJIT SINGH NAGAR)","x03608"
"MAHARASHTRA","27","SATARA","494","MAHARASHTRA, SATARA","MAHARASHTRA, SATARA","x27494"
"MANIPUR","14","SENAPATI","257","MANIPUR, SENAPATI","MANIPUR, SENAPATI","x14257"
"BIHAR","10","SHEIKHPURA","219","BIHAR, SHEIKHPURA","BIHAR, SHEIKHPURA","x10219"
"BIHAR","10","SHEOHAR","220","BIHAR, SHEOHAR","BIHAR, SHEOHAR","x10220"
"MAHARASHTRA","27","SINDHUDURG","495","MAHARASHTRA, SINDHUDURG","MAHARASHTRA, SINDHUDURG","x27495"
"HARYANA","06","SIRSA","074","HARYANA, SIRSA","HARYANA, SIRSA","x06074"
"BIHAR","10","SITAMARHI","221","BIHAR, SITAMARHI","BIHAR, SITAMARHI","x10221"
"BIHAR","10","SIWAN","222","BIHAR, SIWAN","BIHAR, SIWAN","x10222"
"MAHARASHTRA","27","SOLAPUR","496","MAHARASHTRA, SOLAPUR","MAHARASHTRA, SOLAPUR","x27496"
"HARYANA","06","SONIPAT","075","HARYANA, SONIPAT","HARYANA, SONIPAT","x06075"
"WEST BENGAL","19","SOUTH TWENTY-FOUR PARGANAS","304","WEST BENGAL, SOUTH TWENTY-FOUR PARGANAS","WEST BENGAL, SOUTH TWENTY-FOUR PARGANAS","x19304"
"MAHARASHTRA","27","SUB URBAN MUMBAI","483","MAHARASHTRA, SUB URBAN MUMBAI","MAHARASHTRA, SUB URBAN MUMBAI","x27483"
"BIHAR","10","SUPAUL","223","BIHAR, SUPAUL","BIHAR, SUPAUL","x10223"
"MANIPUR","14","TAMENGLONG","258","MANIPUR, TAMENGLONG","MANIPUR, TAMENGLONG","x14258"
"PUNJAB","03","TARN TARAN","609","PUNJAB, TARN TARAN","PUNJAB, TARN TARAN","x03609"
"ARUNACHAL PRADESH","12","TAWANG","238","ARUNACHAL PRADESH, TAWANG","ARUNACHAL PRADESH, TAWANG","x12238"
"MAHARASHTRA","27","THANE","497","MAHARASHTRA, THANE","MAHARASHTRA, THANE","x27497"
"MANIPUR","14","THOUBAL","259","MANIPUR, THOUBAL","MANIPUR, THOUBAL","x14259"
"ARUNACHAL PRADESH","12","TIRAP","239","ARUNACHAL PRADESH, TIRAP","ARUNACHAL PRADESH, TIRAP","x12239"
"MANIPUR","14","KAMJONG","717","MANIPUR, KAMJONG","MANIPUR, KAMJONG","x14717"
"ARUNACHAL PRADESH","12","UPPER SIANG","240","ARUNACHAL PRADESH, UPPER SIANG","ARUNACHAL PRADESH, UPPER SIANG","x12240"
"ARUNACHAL PRADESH","12","UPPER SUBANSIRI","241","ARUNACHAL PRADESH, UPPER SUBANSIRI","ARUNACHAL PRADESH, UPPER SUBANSIRI","x12241"
"WEST BENGAL","19","UTTAR DINAJPUR","311","WEST BENGAL, UTTAR DINAJPUR","WEST BENGAL, UTTAR DINAJPUR","x19311"
"UTTARAKHAND","05","UTTARKASHI","057","UTTARAKHAND, UTTARKASHI","UTTARAKHAND, UTTARKASHI","x05057"
"BIHAR","10","VAISHALI","224","BIHAR, VAISHALI","BIHAR, VAISHALI","x10224"
"TELANGANA","36","MULUGU","720","TELANGANA, MULUGU","TELANGANA, MULUGU","x36720"
"MAHARASHTRA","27","WARDHA","498","MAHARASHTRA, WARDHA","MAHARASHTRA, WARDHA","x27498"
"MAHARASHTRA","27","WASHIM","499","MAHARASHTRA, WASHIM","MAHARASHTRA, WASHIM","x27499"
"ARUNACHAL PRADESH","12","WEST KAMENG","242","ARUNACHAL PRADESH, WEST KAMENG","ARUNACHAL PRADESH, WEST KAMENG","x12242"
"ARUNACHAL PRADESH","12","LOWER SIANG","719","ARUNACHAL PRADESH, LOWER SIANG","ARUNACHAL PRADESH, LOWER SIANG","x12719"
"HARYANA","06","YAMUNANAGAR","076","HARYANA, YAMUNANAGAR","HARYANA, YAMUNANAGAR","x06076"
"MAHARASHTRA","27","YAVATMAL","500","MAHARASHTRA, YAVATMAL","MAHARASHTRA, YAVATMAL","x27500"
"NAGALAND","13","DIMAPUR","244","NAGALAND, DIMAPUR","NAGALAND, DIMAPUR","x13244"
"NAGALAND","13","KOHIMA","245","NAGALAND, KOHIMA","NAGALAND, KOHIMA","x13245"
"NAGALAND","13","KIPHIRE","614","NAGALAND, KIPHIRE","NAGALAND, KIPHIRE","x13614"
"NAGALAND","13","ZUNHEBOTO","251","NAGALAND, ZUNHEBOTO","NAGALAND, ZUNHEBOTO","x13251"
"NAGALAND","13","MOKOKCHUNG","246","NAGALAND, MOKOKCHUNG","NAGALAND, MOKOKCHUNG","x13246"
"NAGALAND","13","MON","247","NAGALAND, MON","NAGALAND, MON","x13247"
"NAGALAND","13","TUENSANG","249","NAGALAND, TUENSANG","NAGALAND, TUENSANG","x13249"
"JAMMU & KASHMIR","01","JAMMU","005","JAMMU & KASHMIR, JAMMU","JAMMU & KASHMIR, JAMMU","x01005"
"ARUNACHAL PRADESH","12","LOWER SUBANSIRI","236","ARUNACHAL PRADESH, LOWER SUBANSIRI","ARUNACHAL PRADESH, LOWER SUBANSIRI","x12236"
"NAGALAND","13","LONGLENG","615","NAGALAND, LONGLENG","NAGALAND, LONGLENG","x13615"
"MANIPUR","14","NONEI","714","MANIPUR, NONEI","MANIPUR, NONEI","x14714"
"MANIPUR","14","PHERZAWL","715","MANIPUR, PHERZAWL","MANIPUR, PHERZAWL","x14715"
"MANIPUR","14","TENGNOUPAL","716","MANIPUR, TENGNOUPAL","MANIPUR, TENGNOUPAL","x14716"
"MANIPUR","14","KANGPOKPI","712","MANIPUR, KANGPOKPI","MANIPUR, KANGPOKPI","x14712"
"MANIPUR","14","KAKCHING","711","MANIPUR, KAKCHING","MANIPUR, KAKCHING","x14711"
"HARYANA","06","CHARKHI DADRI","701","HARYANA, CHARKHI DADRI","HARYANA, CHARKHI DADRI","x06701"
"WEST BENGAL","19","JHARGRAM","703","WEST BENGAL, JHARGRAM","WEST BENGAL, JHARGRAM","x19703"
"WEST BENGAL","19","PASCHIM BARDDHAMAN","704","WEST BENGAL, PASCHIM BARDDHAMAN","WEST BENGAL, PASCHIM BARDDHAMAN","x19704"
"WEST BENGAL","19","KALIMPONG","702","WEST BENGAL, KALIMPONG","WEST BENGAL, KALIMPONG","x19702"
"TELANGANA","36","JOGULAMBA GADWAL","695","TELANGANA, JOGULAMBA GADWAL","TELANGANA, JOGULAMBA GADWAL","x36695"
"ARUNACHAL PRADESH","12","SIANG","679","ARUNACHAL PRADESH, SIANG","ARUNACHAL PRADESH, SIANG","x12679"
"ARUNACHAL PRADESH","12","WEST SIANG","243","ARUNACHAL PRADESH, WEST SIANG","ARUNACHAL PRADESH, WEST SIANG","x12243"
"ARUNACHAL PRADESH","12","SHI YOMI","725","ARUNACHAL PRADESH, SHI YOMI","ARUNACHAL PRADESH, SHI YOMI","x12725"
"ARUNACHAL PRADESH","12","LEPA RADA","724","ARUNACHAL PRADESH, LEPA RADA","ARUNACHAL PRADESH, LEPA RADA","x12724"
"ARUNACHAL PRADESH","12","PAKKE KESSANG","723","ARUNACHAL PRADESH, PAKKE KESSANG","ARUNACHAL PRADESH, PAKKE KESSANG","x12723"
"ARUNACHAL PRADESH","12","KRA DAADI","677","ARUNACHAL PRADESH, KRA DAADI","ARUNACHAL PRADESH, KRA DAADI","x12677"
"ARUNACHAL PRADESH","12","NAMSAI","678","ARUNACHAL PRADESH, NAMSAI","ARUNACHAL PRADESH, NAMSAI","x12678"
"ARUNACHAL PRADESH","12","KAMLE","718","ARUNACHAL PRADESH, KAMLE","ARUNACHAL PRADESH, KAMLE","x12718"
"TELANGANA","36","KUMURAM BHEEM","699","TELANGANA, KUMURAM BHEEM","TELANGANA, KUMURAM BHEEM","x36699"
"TELANGANA","36","MANCHERIAL","684","TELANGANA, MANCHERIAL","TELANGANA, MANCHERIAL","x36684"
"TELANGANA","36","NIRMAL","680","TELANGANA, NIRMAL","TELANGANA, NIRMAL","x36680"
"TELANGANA","36","KAMAREDDY","685","TELANGANA, KAMAREDDY","TELANGANA, KAMAREDDY","x36685"
"TELANGANA","36","SANGAREDDY","691","TELANGANA, SANGAREDDY","TELANGANA, SANGAREDDY","x36691"
"TELANGANA","36","NAGARKURNOOL","694","TELANGANA, NAGARKURNOOL","TELANGANA, NAGARKURNOOL","x36694"
"TELANGANA","36","WANAPARTHY","693","TELANGANA, WANAPARTHY","TELANGANA, WANAPARTHY","x36693"
"TELANGANA","36","NARAYANPET","721","TELANGANA, NARAYANPET","TELANGANA, NARAYANPET","x36721"
"TELANGANA","36","VIKARABAD","698","TELANGANA, VIKARABAD","TELANGANA, VIKARABAD","x36698"
"TELANGANA","36","MEDCHAL-MALKAJGIRI","700","TELANGANA, MEDCHAL-MALKAJGIRI","TELANGANA, MEDCHAL-MALKAJGIRI","x36700"
"TELANGANA","36","YADADRI BHUVANAGIRI","697","TELANGANA, YADADRI BHUVANAGIRI","TELANGANA, YADADRI BHUVANAGIRI","x36697"
"TELANGANA","36","SURYAPET","696","TELANGANA, SURYAPET","TELANGANA, SURYAPET","x36696"
"TELANGANA","36","KHAMMAM","509","TELANGANA, KHAMMAM","TELANGANA, KHAMMAM","x36509"
"TELANGANA","36","MAHABUBABAD","688","TELANGANA, MAHABUBABAD","TELANGANA, MAHABUBABAD","x36688"
"TELANGANA","36","JANGAON","689","TELANGANA, JANGAON","TELANGANA, JANGAON","x36689"
"TELANGANA","36","WARANGAL (URBAN)","686","TELANGANA, WARANGAL (URBAN)","TELANGANA, WARANGAL (URBAN)","x36686"
"TELANGANA","36","WARANGAL (RURAL)","522","TELANGANA, WARANGAL (RURAL)","TELANGANA, WARANGAL (RURAL)","x36522"
"TELANGANA","36","JAYASHANKAR BHUPALAPALLY","687","TELANGANA, JAYASHANKAR BHUPALAPALLY","TELANGANA, JAYASHANKAR BHUPALAPALLY","x36687"
"TELANGANA","36","PEDDAPALLI","682","TELANGANA, PEDDAPALLI","TELANGANA, PEDDAPALLI","x36682"
"TELANGANA","36","JAGTIAL","681","TELANGANA, JAGTIAL","TELANGANA, JAGTIAL","x36681"
"TELANGANA","36","RANJANNA SIRCILLA","683","TELANGANA, RANJANNA SIRCILLA","TELANGANA, RANJANNA SIRCILLA","x36683"
"TELANGANA","36","MEDAK","513","TELANGANA, MEDAK","TELANGANA, MEDAK","x36513"
"ARUNACHAL PRADESH","12","EAST SIANG","232","ARUNACHAL PRADESH, EAST SIANG","ARUNACHAL PRADESH, EAST SIANG","x12232"
"ARUNACHAL PRADESH","12","LONGDING","666","ARUNACHAL PRADESH, LONGDING","ARUNACHAL PRADESH, LONGDING","x12666"
"TAMIL NADU","33","ARIYALUR","610","TAMIL NADU, ARIYALUR","TAMIL NADU, ARIYALUR","x33610"
"TAMIL NADU","33","CHENGALPATTU","730","TAMIL NADU, CHENGALPATTU","TAMIL NADU, CHENGALPATTU","x33730"
"TAMIL NADU","33","CHENNAI","568","TAMIL NADU, CHENNAI","TAMIL NADU, CHENNAI","x33568"
"TAMIL NADU","33","COIMBATORE","569","TAMIL NADU, COIMBATORE","TAMIL NADU, COIMBATORE","x33569"
"TAMIL NADU","33","CUDDALORE","570","TAMIL NADU, CUDDALORE","TAMIL NADU, CUDDALORE","x33570"
"TAMIL NADU","33","DHARMAPURI","571","TAMIL NADU, DHARMAPURI","TAMIL NADU, DHARMAPURI","x33571"
"TAMIL NADU","33","DINDIGUL","572","TAMIL NADU, DINDIGUL","TAMIL NADU, DINDIGUL","x33572"
"TAMIL NADU","33","ERODE","573","TAMIL NADU, ERODE","TAMIL NADU, ERODE","x33573"
"TAMIL NADU","33","KANCHIPURAM","574","TAMIL NADU, KANCHIPURAM","TAMIL NADU, KANCHIPURAM","x33574"
"TAMIL NADU","33","KALLAKKURICHI","729","TAMIL NADU, KALLAKKURICHI","TAMIL NADU, KALLAKKURICHI","x33729"
"TAMIL NADU","33","KANYAKUMARI","575","TAMIL NADU, KANYAKUMARI","TAMIL NADU, KANYAKUMARI","x33575"
"TAMIL NADU","33","KARUR","576","TAMIL NADU, KARUR","TAMIL NADU, KARUR","x33576"
"TAMIL NADU","33","MADURAI","578","TAMIL NADU, MADURAI","TAMIL NADU, MADURAI","x33578"
"TAMIL NADU","33","NILGIRIS","587","TAMIL NADU, NILGIRIS","TAMIL NADU, NILGIRIS","x33587"
"TAMIL NADU","33","NAGAPATTINAM","579","TAMIL NADU, NAGAPATTINAM","TAMIL NADU, NAGAPATTINAM","x33579"
"TAMIL NADU","33","NAMAKKAL","580","TAMIL NADU, NAMAKKAL","TAMIL NADU, NAMAKKAL","x33580"
"TAMIL NADU","33","PERAMBALUR","581","TAMIL NADU, PERAMBALUR","TAMIL NADU, PERAMBALUR","x33581"
"TAMIL NADU","33","PUDUKKOTTAI","582","TAMIL NADU, PUDUKKOTTAI","TAMIL NADU, PUDUKKOTTAI","x33582"
"TAMIL NADU","33","RAMANATHAPURAM","583","TAMIL NADU, RAMANATHAPURAM","TAMIL NADU, RAMANATHAPURAM","x33583"
"TAMIL NADU","33","RANIPPETTAI","731","TAMIL NADU, RANIPPETTAI","TAMIL NADU, RANIPPETTAI","x33731"
"TAMIL NADU","33","SALEM","584","TAMIL NADU, SALEM","TAMIL NADU, SALEM","x33584"
"TAMIL NADU","33","SIVAGANGA","585","TAMIL NADU, SIVAGANGA","TAMIL NADU, SIVAGANGA","x33585"
"TAMIL NADU","33","TENI","588","TAMIL NADU, TENI","TAMIL NADU, TENI","x33588"
"TAMIL NADU","33","TENKASI","733","TAMIL NADU, TENKASI","TAMIL NADU, TENKASI","x33733"
"TAMIL NADU","33","THANJAVUR","586","TAMIL NADU, THANJAVUR","TAMIL NADU, THANJAVUR","x33586"
"TAMIL NADU","33","THIRUVARUR","590","TAMIL NADU, THIRUVARUR","TAMIL NADU, THIRUVARUR","x33590"
"TAMIL NADU","33","TIRUCHIRAPALLI","591","TAMIL NADU, TIRUCHIRAPALLI","TAMIL NADU, TIRUCHIRAPALLI","x33591"
"TAMIL NADU","33","TIRUNELVELI","592","TAMIL NADU, TIRUNELVELI","TAMIL NADU, TIRUNELVELI","x33592"
"TAMIL NADU","33","TIRUPPUR","634","TAMIL NADU, TIRUPPUR","TAMIL NADU, TIRUPPUR","x33634"
"TAMIL NADU","33","TIRUPPATTUR","732","TAMIL NADU, TIRUPPATTUR","TAMIL NADU, TIRUPPATTUR","x33732"
"TAMIL NADU","33","TIRUVALLUR","589","TAMIL NADU, TIRUVALLUR","TAMIL NADU, TIRUVALLUR","x33589"
"TAMIL NADU","33","TIRUVANNAMALAI","593","TAMIL NADU, TIRUVANNAMALAI","TAMIL NADU, TIRUVANNAMALAI","x33593"
"TAMIL NADU","33","TUTICORIN","594","TAMIL NADU, TUTICORIN","TAMIL NADU, TUTICORIN","x33594"
"TAMIL NADU","33","VELLORE","595","TAMIL NADU, VELLORE","TAMIL NADU, VELLORE","x33595"
"TAMIL NADU","33","VILLUPURAM","596","TAMIL NADU, VILLUPURAM","TAMIL NADU, VILLUPURAM","x33596"
"TAMIL NADU","33","VIRUDHUNAGAR","597","TAMIL NADU, VIRUDHUNAGAR","TAMIL NADU, VIRUDHUNAGAR","x33597"
"TAMIL NADU","33","KRISHNAGIRI","577","TAMIL NADU, KRISHNAGIRI","TAMIL NADU, KRISHNAGIRI","x33577"
"DADRA & NAGAR HAVELI & DAMAN & DIU","38","DADRA & NAGAR HAVELI","465","DADRA & NAGAR HAVELI & DAMAN & DIU, DADRA & NAGAR HAVELI","DADRA & NAGAR HAVELI & DAMAN & DIU, DADRA & NAGAR HAVELI","x38465"
"ASSAM","18","BAKSA","616","ASSAM, BAKSA","ASSAM, BAKSA","x18616"
"ASSAM","18","BARPETA","280","ASSAM, BARPETA","ASSAM, BARPETA","x18280"
"ASSAM","18","BISWANATH","705","ASSAM, BISWANATH","ASSAM, BISWANATH","x18705"
"ASSAM","18","BONGAIGAON","281","ASSAM, BONGAIGAON","ASSAM, BONGAIGAON","x18281"
"ASSAM","18","CACHAR","282","ASSAM, CACHAR","ASSAM, CACHAR","x18282"
"ASSAM","18","CHARAIDEO","708","ASSAM, CHARAIDEO","ASSAM, CHARAIDEO","x18708"
"ASSAM","18","CHIRANG","612","ASSAM, CHIRANG","ASSAM, CHIRANG","x18612"
"ASSAM","18","DARRANG","283","ASSAM, DARRANG","ASSAM, DARRANG","x18283"
"ASSAM","18","DHEMAJI","284","ASSAM, DHEMAJI","ASSAM, DHEMAJI","x18284"
"ASSAM","18","DHUBRI","285","ASSAM, DHUBRI","ASSAM, DHUBRI","x18285"
"ASSAM","18","DIBRUGARH","286","ASSAM, DIBRUGARH","ASSAM, DIBRUGARH","x18286"
"ASSAM","18","DIMA HASAO","299","ASSAM, DIMA HASAO","ASSAM, DIMA HASAO","x18299"
"ASSAM","18","GOALPARA","287","ASSAM, GOALPARA","ASSAM, GOALPARA","x18287"
"ASSAM","18","GOLAGHAT","288","ASSAM, GOLAGHAT","ASSAM, GOLAGHAT","x18288"
"ASSAM","18","HAILAKANDI","289","ASSAM, HAILAKANDI","ASSAM, HAILAKANDI","x18289"
"ASSAM","18","HOJAI","709","ASSAM, HOJAI","ASSAM, HOJAI","x18709"
"ASSAM","18","JORHAT","290","ASSAM, JORHAT","ASSAM, JORHAT","x18290"
"ASSAM","18","KAMRUP METRO","618","ASSAM, KAMRUP METRO","ASSAM, KAMRUP METRO","x18618"
"ASSAM","18","KAMRUP RURAL","291","ASSAM, KAMRUP RURAL","ASSAM, KAMRUP RURAL","x18291"
"ASSAM","18","KARBI ANGLONG","292","ASSAM, KARBI ANGLONG","ASSAM, KARBI ANGLONG","x18292"
"ASSAM","18","KARIMGANJ","293","ASSAM, KARIMGANJ","ASSAM, KARIMGANJ","x18293"
"ASSAM","18","KOKRAJHAR","294","ASSAM, KOKRAJHAR","ASSAM, KOKRAJHAR","x18294"
"ASSAM","18","LAKHIMPUR","295","ASSAM, LAKHIMPUR","ASSAM, LAKHIMPUR","x18295"
"ASSAM","18","MAJULI","706","ASSAM, MAJULI","ASSAM, MAJULI","x18706"
"ASSAM","18","MARIGAON","296","ASSAM, MARIGAON","ASSAM, MARIGAON","x18296"
"ASSAM","18","NAGAON","297","ASSAM, NAGAON","ASSAM, NAGAON","x18297"
"ASSAM","18","NALBARI","298","ASSAM, NALBARI","ASSAM, NALBARI","x18298"
"ASSAM","18","SIBSAGAR","300","ASSAM, SIBSAGAR","ASSAM, SIBSAGAR","x18300"
"ASSAM","18","SONITPUR","301","ASSAM, SONITPUR","ASSAM, SONITPUR","x18301"
"ASSAM","18","SOUTH SALMARA MANCACHAR","707","ASSAM, SOUTH SALMARA MANCACHAR","ASSAM, SOUTH SALMARA MANCACHAR","x18707"
"ASSAM","18","TINSUKIA","302","ASSAM, TINSUKIA","ASSAM, TINSUKIA","x18302"
"ASSAM","18","UDALGURI","617","ASSAM, UDALGURI","ASSAM, UDALGURI","x18617"
"ASSAM","18","WEST KARBI ANGLONG","710","ASSAM, WEST KARBI ANGLONG","ASSAM, WEST KARBI ANGLONG","x18710"
